COMMONNAME,RUN,RECOVERYDOMAIN,ESU_DPS,MAJORPOPGROUP,POPID,NMFS_POPID,LOCATIONNAME,POPULATIONNAME,ESAPOPNAME,CBFWAPOPNAME,COMMONPOPNAME,POPFIT,POPFITNOTES,SMOLTEQLOCATION,SMOLTEQLOCPTCODE,OUTMIGRATIONYEAR,CONTACTAGENCY,METHODNUMBER,BESTVALUE,TOTALNATURAL,TOTALNATURALLOWERLIMIT,TOTALNATURALUPPERLIMIT,TOTALNATURALALPHA,AGE0PROP,AGE0PROPLOWERLIMIT,AGE0PROPUPPERLIMIT,AGE1PROP,AGE1PROPLOWERLIMIT,AGE1PROPUPPERLIMIT,AGE2PROP,AGE2PROPLOWERLIMIT,AGE2PROPUPPERLIMIT,AGE3PROP,AGE3PROPLOWERLIMIT,AGE3PROPUPPERLIMIT,AGE4PLUSPROP,AGE4PLUSPROPLOWERLIMIT,AGE4PLUSPROPUPPERLIMIT,AGEPROPALPHA,PROTMETHNAME,PROTMETHURL,PROTMETHDOCUMENTATION,METHODADJUSTMENTS,OTHERDATASOURCES,COMMENTS,NULLRECORD,DATASTATUS,LASTUPDATED,INDICATORLOCATION,CONTACTPERSONFIRST,CONTACTPERSONLAST,CONTACTPHONE,CONTACTEMAIL,METACOMMENTS,SUBMITAGENCY,REFID,UPDDATE,DATAENTRY,DATAENTRYNOTES,COMPILERRECORDID,PUBLISH,SNLOADDATE,VALIDATIONDATE,LASTMODIFIEDDATE,DOWNLOADDATE,DISPLAYNOTE,HLI_LASTUPDATED,ID
Chinook salmon,unknown,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Dry Clearwater,5,96,South Fork Clearwater River Upper Mainstem,South Fork Clearwater River Upper Mainstem - Chinook salmon,"Salmon, Chinook (Snake River spring/summer-run ESU) South Fork Clearwater River Upper Mainstem - unknown",,,Portion,Most of pop captured,"Crooked River, RKM =1",CROTRP,2017,Idaho Department of Fish and Game,1,Yes,12733,10825,13454,0.05,,,,,,,,,,,,,,,,,Monitor Population-specific VSP Metrics for wild Chinook Salmon in Idaho (1991-073-00),https://www.monitoringmethods.org/Protocol/Details/159,https://pisces.bpa.gov/release/documents/documentviewer.aspx?doc=P127266,none,,0,No,Final,Feb  5 2019 12:00AM,Biologist workbook on shared network,Bruce,Barnett,208-465-8404,bruce.barnett@idfg.idaho.gov,,IDFG,46905,,IDFG Streamnet,,51aa853c-0b75-421b-ac1f-6e5e52efd9ee,Yes,Jul 31 2018  8:40AM,Feb  7 2019 10:11AM,Feb  7 2019 10:10AM,Feb  8 2019 10:00PM,Metrics,Feb  7 2019 10:10AM,51aa853c-0b75-421b-ac1f-6e5e52efd9ee
Chinook salmon,unknown,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Dry Clearwater,5,96,South Fork Clearwater River Upper Mainstem,South Fork Clearwater River Upper Mainstem - Chinook salmon,"Salmon, Chinook (Snake River spring/summer-run ESU) South Fork Clearwater River Upper Mainstem - unknown",,,Portion,Most of pop captured,"Crooked River, RKM =1",CROTRP,2016,Idaho Department of Fish and Game,1,Yes,1857,1380,2619,0.05,,,,,,,,,,,,,,,,,Monitor Population-specific VSP Metrics for wild Chinook Salmon in Idaho (1991-073-00),https://www.monitoringmethods.org/Protocol/Details/159,https://pisces.bpa.gov/release/documents/documentviewer.aspx?doc=P127266,none,,Index only on 9/17,No,Final,Feb  5 2019 12:00AM,Biologist workbook on shared network,Bruce,Barnett,208-465-8404,bruce.barnett@idfg.idaho.gov,,IDFG,46906,,IDFG Streamnet,,18ae6f05-4991-4b84-b327-b63bceba1e2b,Yes,Jul 31 2018  8:40AM,Feb  7 2019 10:11AM,Feb  7 2019 10:11AM,Feb  8 2019 10:00PM,Metrics,Feb  7 2019 10:11AM,18ae6f05-4991-4b84-b327-b63bceba1e2b
Chinook salmon,unknown,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Dry Clearwater,5,96,South Fork Clearwater River Upper Mainstem,South Fork Clearwater River Upper Mainstem - Chinook salmon,"Salmon, Chinook (Snake River spring/summer-run ESU) South Fork Clearwater River Upper Mainstem - unknown",,,Portion,Most of pop captured,"Red River, RKM = 6",REDTRP,2015,Idaho Department of Fish and Game,1,Yes,11092,9363,12929,0.05,,,,,,,,,,,,,,,,,Monitor Population-specific VSP Metrics for wild Chinook Salmon in Idaho (1991-073-00),https://www.monitoringmethods.org/Protocol/Details/159,https://pisces.bpa.gov/release/documents/documentviewer.aspx?doc=P127266,none,,"From Reg2, S:Fishery\R2AM\ISS\3_ISS reporting, Values have been corrected after report publication. Contact biologist with any questions.",No,Final,Feb  5 2019 12:00AM,Biologist workbook on shared network,Bruce,Barnett,208-465-8404,bruce.barnett@idfg.idaho.gov,,IDFG,46907,,IDFG Streamnet,,132aafb7-b18d-4e0c-a69d-fdb847a8baf9,Yes,Jul 31 2018  8:41AM,Feb  7 2019 10:11AM,Feb  7 2019 10:11AM,Feb  8 2019 10:00PM,Metrics,Feb  7 2019 10:11AM,132aafb7-b18d-4e0c-a69d-fdb847a8baf9
Chinook salmon,unknown,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Dry Clearwater,5,96,South Fork Clearwater River Upper Mainstem,South Fork Clearwater River Upper Mainstem - Chinook salmon,"Salmon, Chinook (Snake River spring/summer-run ESU) South Fork Clearwater River Upper Mainstem - unknown",,,Portion,Most of pop captured,"American River, RKM = 2",AMERR,2015,Idaho Department of Fish and Game,1,Yes,8315,7407,9505,0.05,,,,,,,,,,,,,,,,,Monitor Population-specific VSP Metrics for wild Chinook Salmon in Idaho (1991-073-00),https://www.monitoringmethods.org/Protocol/Details/159,https://pisces.bpa.gov/release/documents/documentviewer.aspx?doc=P127266,none,,"From Reg2, S:Fishery\R2AM\ISS\3_ISS reporting",No,Final,Feb  5 2019 12:00AM,Biologist workbook on shared network,Bruce,Barnett,208-465-8404,bruce.barnett@idfg.idaho.gov,,IDFG,46907,,IDFG Streamnet,,72f983c2-afbe-45b1-8939-22e400a9f604,Yes,Jul 31 2018  8:41AM,Feb  7 2019 10:11AM,Feb  7 2019 10:11AM,Feb  8 2019 10:00PM,Metrics,Feb  7 2019 10:11AM,72f983c2-afbe-45b1-8939-22e400a9f604
Chinook salmon,unknown,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Dry Clearwater,5,96,South Fork Clearwater River Upper Mainstem,South Fork Clearwater River Upper Mainstem - Chinook salmon,"Salmon, Chinook (Snake River spring/summer-run ESU) South Fork Clearwater River Upper Mainstem - unknown",,,Portion,Most of pop captured,"Crooked River, RKM =1",CROTRP,2015,Idaho Department of Fish and Game,1,Yes,622,391,964,0.05,,,,,,,,,,,,,,,,,Monitor Population-specific VSP Metrics for wild Chinook Salmon in Idaho (1991-073-00),https://www.monitoringmethods.org/Protocol/Details/159,https://pisces.bpa.gov/release/documents/documentviewer.aspx?doc=P127266,none,,Index only on 9/19,No,Final,Feb  5 2019 12:00AM,Biologist workbook on shared network,Bruce,Barnett,208-465-8404,bruce.barnett@idfg.idaho.gov,,IDFG,46907,,IDFG Streamnet,,87bfd889-d704-47c7-acaf-3b3811e62ade,Yes,Jul 31 2018  8:41AM,Feb  7 2019 10:11AM,Feb  7 2019 10:11AM,Feb  8 2019 10:00PM,Metrics,Feb  7 2019 10:11AM,87bfd889-d704-47c7-acaf-3b3811e62ade
Chinook salmon,unknown,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Dry Clearwater,5,96,South Fork Clearwater River Upper Mainstem,South Fork Clearwater River Upper Mainstem - Chinook salmon,"Salmon, Chinook (Snake River spring/summer-run ESU) South Fork Clearwater River Upper Mainstem - unknown",,,Portion,Most of pop captured,"Crooked River, RKM =1",CROTRP,2014,Idaho Department of Fish and Game,1,Yes,7868,6919,9006,0.05,,,,,,,,,,,,,,,,,Idaho Supplementation Studies Project Completion Report,https://collaboration.idfg.idaho.gov/FisheriesTechnicalReports/Res15-18Venditti1991-2014IdahoSupplementationStudiesCompletionReport.pdf,,none,,"Fire, partial count on 8/23",No,Final,Feb  5 2019 12:00AM,Biologist workbook on shared network,Bruce,Barnett,208-465-8404,bruce.barnett@idfg.idaho.gov,,IDFG,46920,,IDFG Streamnet,,893dd851-ddd8-4b31-989e-26528713b809,Yes,Jul 31 2018  8:41AM,Feb  7 2019 10:11AM,Feb  7 2019 10:11AM,Feb  8 2019 10:00PM,Metrics,Feb  7 2019 10:11AM,893dd851-ddd8-4b31-989e-26528713b809
Chinook salmon,unknown,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Dry Clearwater,5,96,South Fork Clearwater River Upper Mainstem,South Fork Clearwater River Upper Mainstem - Chinook salmon,"Salmon, Chinook (Snake River spring/summer-run ESU) South Fork Clearwater River Upper Mainstem - unknown",,,Portion,Most of pop captured,"American River, RKM = 2",AMERR,2014,Idaho Department of Fish and Game,1,Yes,11276,8775,13065,0.05,,,,,,,,,,,,,,,,,Idaho Supplementation Studies Project Completion Report,https://collaboration.idfg.idaho.gov/FisheriesTechnicalReports/Res15-18Venditti1991-2014IdahoSupplementationStudiesCompletionReport.pdf,,none,,"From Reg2, S:Fishery\R2AM\ISS\3_ISS reporting",No,Final,Feb  5 2019 12:00AM,Biologist workbook on shared network,Bruce,Barnett,208-465-8404,bruce.barnett@idfg.idaho.gov,,IDFG,46920,,IDFG Streamnet,,ba9d2974-c4a2-46ef-b887-50e99b984d90,Yes,Jul 31 2018  8:41AM,Feb  7 2019 10:11AM,Feb  7 2019 10:11AM,Feb  8 2019 10:00PM,Metrics,Feb  7 2019 10:11AM,ba9d2974-c4a2-46ef-b887-50e99b984d90
Chinook salmon,unknown,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Dry Clearwater,5,96,South Fork Clearwater River Upper Mainstem,South Fork Clearwater River Upper Mainstem - Chinook salmon,"Salmon, Chinook (Snake River spring/summer-run ESU) South Fork Clearwater River Upper Mainstem - unknown",,,Portion,Most of pop captured,"Red River, RKM = 6",REDTRP,2014,Idaho Department of Fish and Game,1,Yes,20404,17659,23518,0.05,,,,,,,,,,,,,,,,,Idaho Supplementation Studies Project Completion Report,https://collaboration.idfg.idaho.gov/FisheriesTechnicalReports/Res15-18Venditti1991-2014IdahoSupplementationStudiesCompletionReport.pdf,,none,,"From Reg2, S:Fishery\R2AM\ISS\3_ISS reporting, Values have been corrected after report publication. Contact biologist with any questions.",No,Final,Feb  5 2019 12:00AM,Biologist workbook on shared network,Bruce,Barnett,208-465-8404,bruce.barnett@idfg.idaho.gov,,IDFG,46920,,IDFG Streamnet,,270df8c0-2b9f-47d3-a8f9-d6c0608b45ba,Yes,Jul 31 2018  8:41AM,Feb  7 2019 10:11AM,Feb  7 2019 10:11AM,Feb  8 2019 10:00PM,Metrics,Feb  7 2019 10:11AM,270df8c0-2b9f-47d3-a8f9-d6c0608b45ba
Chinook salmon,unknown,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Dry Clearwater,5,96,South Fork Clearwater River Upper Mainstem,South Fork Clearwater River Upper Mainstem - Chinook salmon,"Salmon, Chinook (Snake River spring/summer-run ESU) South Fork Clearwater River Upper Mainstem - unknown",,,Portion,Most of pop captured,"American River, RKM = 2",AMERR,2013,Idaho Department of Fish and Game,1,Yes,22347,19552,25708,0.05,,,,,,,,,,,,,,,,,Idaho Supplementation Studies Project Completion Report,https://collaboration.idfg.idaho.gov/FisheriesTechnicalReports/Res15-18Venditti1991-2014IdahoSupplementationStudiesCompletionReport.pdf,,none,,"From Reg2, S:Fishery\R2AM\ISS\3_ISS reporting; Values have been corrected after report publication. Contact biologist with any questions.
Values have been corrected after report publication. Contact biologist with any questions.",No,Final,Feb  5 2019 12:00AM,Biologist workbook on shared network,Bruce,Barnett,208-465-8404,bruce.barnett@idfg.idaho.gov,,IDFG,46908,,IDFG Streamnet,,4475a5f7-d3b2-4afc-9d5c-1f502ac07b56,Yes,Jul 31 2018  8:41AM,Feb  7 2019 10:12AM,Feb  7 2019 10:11AM,Feb  8 2019 10:00PM,Metrics,Feb  7 2019 10:11AM,4475a5f7-d3b2-4afc-9d5c-1f502ac07b56
Chinook salmon,unknown,Interior Columbia,"Salmon, Chinook (Snake River spring/summer-run ESU)",Dry Clearwater,5,96,South Fork Clearwater River Upper Mainstem,South Fork Clearwater River Upper Mainstem - Chinook salmon,"Salmon, Chinook (Snake River spring/summer-run ESU) South Fork Clearwater River Upper Mainstem - unknown",,,Portion,Most of pop captured,"Red River, RKM = 6",REDTRP,2013,Idaho Department of Fish and Game,1,Yes,21101,18521,24166,0.05,,,,,,,,,,,,,,,,,Idaho Supplementation Studies Project Completion Report,https://collaboration.idfg.idaho.gov/FisheriesTechnicalReports/Res15-18Venditti1991-2014IdahoSupplementationStudiesCompletionReport.pdf,,none,,"From Reg2, S:Fishery\R2AM\ISS\3_ISS reporting; Values have been corrected after report publication. Contact biologist with any questions. 
Values have been corrected after report publication. Contact biologist with any questions.",No,Final,Feb  5 2019 12:00AM,Biologist workbook on shared network,Bruce,Barnett,208-465-8404,bruce.barnett@idfg.idaho.gov,,IDFG,46908,,IDFG Streamnet,,be0dd00f-f4e8-4d62-8f9e-a2da59a102ec,Yes,Jul 31 2018  8:41AM,Feb  7 2019 10:12AM,Feb  7 2019 10:11AM,Feb  8 2019 10:00PM,Metrics,Feb  7 2019 10:11AM,be0dd00f-f4e8-4d62-8f9e-a2da59a102ec
