COMMONNAME,RUN,RECOVERYDOMAIN,ESU_DPS,MAJORPOPGROUP,POPID,NMFS_POPID,LOCATIONNAME,POPULATIONNAME,ESAPOPNAME,CBFWAPOPNAME,COMMONPOPNAME,POPFIT,POPFITNOTES,SMOLTLOCATION,SMOLTDEF,SMOLTLOCPTCODE,ADULTLOCATION,SMOLTTOADULTLOCS,SARTYPE,SCOPEOFINFERENCE,OUTMIGRATIONYEAR,TRTMETHOD,CONTACTAGY,CONTACTAGENCY,METHODNUMBER,BESTVALUE,SAR,SARLOWERLIMIT,SARUPPERLIMIT,SARALPHA,RETURNSMISSING,RETURNSMISSINGEXPLANATION,REARINGTYPE,TSO,TSOLOWERLIMIT,TSOUPPERLIMIT,TSOALPHA,TAR,TARLOWERLIMIT,TARUPPERLIMIT,TARALPHA,RETURNDEF,HARVESTADJ,OCEANHARVEST,MAINSTEMHARVEST,TRIBHARVEST,BROODSTOCKREMOVED,PROTMETHNAME,PROTMETHURL,PROTMETHDOCUMENTATION,METHODADJUSTMENTS,OTHERDATASOURCES,COMMENTS,NULLRECORD,DATASTATUS,LASTUPDATED,INDICATORLOCATION,METRICLOCATION,MEASURELOCATION,CONTACTPERSONFIRST,CONTACTPERSONLAST,CONTACTPHONE,CONTACTEMAIL,METACOMMENTS,SUBMITAGENCY,REFID,UPDDATE,DATAENTRY,DATAENTRYNOTES,COMPILERRECORDID,PUBLISH,SNLOADDATE,VALIDATIONDATE,LASTMODIFIEDDATE,DOWNLOADDATE,DISPLAYNOTE,HLI_LASTUPDATED,ID
Chinook salmon,Fall,Interior Columbia,,,514,,Deschutes River {non-TRT Population},Deschutes River fall Chinook salmon,,,,Same,,Bonneville Dam,Smolts outmigrating past a point,BON,Bonneville Dam,From Bonneville Dam to Bonneville Dam,Excluding jacks,,2015,No,FPC,Fish Passage Center,1,Yes,0.17,0.06,0.3,0.1,,,Natural,4810,,,,,,,,Returns to a dam,Not adjusted,,,,,,http://www.fpc.org/documents/CSS/DRAFT2018CSSReportv1-1.pdf,,,"Data provided to FPC by USFWS, NPT, CTWSRO, CCT, SBT, CRITFC, IDFG, ODFW, WDFW, PSMFC, and others for the BPA-funded Comparative Survival Study.","Data extracted 12/24/2018 from Fish Passage Center (http://www.fpc.org).  If you contact FPC with questions, be sure to inform them that you obtained these data via the Coordinated Assessments query system.",No,Final,,http://www.fpc.org/,http://www.fpc.org/,,Michele,DeHart  [But see Comments.],503-833-3900,mdehart@fpc.org,,PSMFC,,Dec 24 2018 10:45AM,Data downloaded from Fish Passage Center.,,514 BON_to_BOA 2015 w/o jacks,Yes,Dec 24 2018 11:17AM,Dec 24 2018 11:18AM,Dec 24 2018  6:55PM,Feb  8 2019 10:00PM,Metrics,,155C98F0-9D0B-421E-BA28-1ACDA231DBBD
Chinook salmon,Fall,Interior Columbia,,,514,,Deschutes River {non-TRT Population},Deschutes River fall Chinook salmon,,,,Same,,Bonneville Dam,Smolts outmigrating past a point,BON,Bonneville Dam,From Bonneville Dam to Bonneville Dam,Including jacks,,2015,No,FPC,Fish Passage Center,1,Yes,0.23,0.1,0.41,0.1,,,Natural,4810,,,,,,,,Returns to a dam,Not adjusted,,,,,,http://www.fpc.org/documents/CSS/DRAFT2018CSSReportv1-1.pdf,,,"Data provided to FPC by USFWS, NPT, CTWSRO, CCT, SBT, CRITFC, IDFG, ODFW, WDFW, PSMFC, and others for the BPA-funded Comparative Survival Study.","Data extracted 12/24/2018 from Fish Passage Center (http://www.fpc.org).  If you contact FPC with questions, be sure to inform them that you obtained these data via the Coordinated Assessments query system.",No,Final,,http://www.fpc.org/,http://www.fpc.org/,,Michele,DeHart  [But see Comments.],503-833-3900,mdehart@fpc.org,,PSMFC,,Dec 24 2018 10:45AM,Data downloaded from Fish Passage Center.,,514 BON_to_BOA 2015 w/ jacks,Yes,Dec 24 2018 11:10AM,Dec 24 2018 11:11AM,Dec 24 2018  6:55PM,Feb  8 2019 10:00PM,Metrics,,B216DD06-C634-4E9E-BAFF-272412C5C747
Chinook salmon,Fall,Interior Columbia,,,514,,Deschutes River {non-TRT Population},Deschutes River fall Chinook salmon,,,,Same,,Bonneville Dam,Smolts outmigrating past a point,BON,Bonneville Dam,From Bonneville Dam to Bonneville Dam,Including jacks,,2014,No,FPC,Fish Passage Center,1,Yes,1.1,0.67,1.58,0.1,,,Natural,3809,,,,,,,,Returns to a dam,Not adjusted,,,,,,http://www.fpc.org/documents/CSS/DRAFT2018CSSReportv1-1.pdf,,,"Data provided to FPC by USFWS, NPT, CTWSRO, CCT, SBT, CRITFC, IDFG, ODFW, WDFW, PSMFC, and others for the BPA-funded Comparative Survival Study.","Data extracted 12/24/2018 from Fish Passage Center (http://www.fpc.org).  If you contact FPC with questions, be sure to inform them that you obtained these data via the Coordinated Assessments query system.",No,Final,,http://www.fpc.org/,http://www.fpc.org/,,Michele,DeHart  [But see Comments.],503-833-3900,mdehart@fpc.org,,PSMFC,,Dec 24 2018 10:45AM,Data downloaded from Fish Passage Center.,,514 BON_to_BOA 2014 w/ jacks,Yes,Dec 24 2018 11:10AM,Dec 24 2018 11:10AM,Dec 24 2018  6:55PM,Feb  8 2019 10:00PM,Metrics,,27344C18-E909-489F-AF8E-9892C8E81753
Chinook salmon,Fall,Interior Columbia,,,514,,Deschutes River {non-TRT Population},Deschutes River fall Chinook salmon,,,,Same,,Bonneville Dam,Smolts outmigrating past a point,BON,Bonneville Dam,From Bonneville Dam to Bonneville Dam,Excluding jacks,,2014,No,FPC,Fish Passage Center,1,Yes,0.79,0.47,1.13,0.1,,,Natural,3809,,,,,,,,Returns to a dam,Not adjusted,,,,,,http://www.fpc.org/documents/CSS/DRAFT2018CSSReportv1-1.pdf,,,"Data provided to FPC by USFWS, NPT, CTWSRO, CCT, SBT, CRITFC, IDFG, ODFW, WDFW, PSMFC, and others for the BPA-funded Comparative Survival Study.","Data extracted 12/24/2018 from Fish Passage Center (http://www.fpc.org).  If you contact FPC with questions, be sure to inform them that you obtained these data via the Coordinated Assessments query system.",No,Final,,http://www.fpc.org/,http://www.fpc.org/,,Michele,DeHart  [But see Comments.],503-833-3900,mdehart@fpc.org,,PSMFC,,Dec 24 2018 10:45AM,Data downloaded from Fish Passage Center.,,514 BON_to_BOA 2014 w/o jacks,Yes,Dec 24 2018 11:17AM,Dec 24 2018 11:18AM,Dec 24 2018  6:55PM,Feb  8 2019 10:00PM,Metrics,,731E5F1E-03ED-4132-B556-E4D31D7C7D15
Chinook salmon,Fall,Interior Columbia,,,514,,Deschutes River {non-TRT Population},Deschutes River fall Chinook salmon,,,,Same,,Bonneville Dam,Smolts outmigrating past a point,BON,Bonneville Dam,From Bonneville Dam to Bonneville Dam,Excluding jacks,,2013,No,FPC,Fish Passage Center,1,Yes,0.6,0.38,0.86,0.1,,,Natural,8229,,,,,,,,Returns to a dam,Not adjusted,,,,,,http://www.fpc.org/documents/CSS/DRAFT2018CSSReportv1-1.pdf,,,"Data provided to FPC by USFWS, NPT, CTWSRO, CCT, SBT, CRITFC, IDFG, ODFW, WDFW, PSMFC, and others for the BPA-funded Comparative Survival Study.","Data extracted 12/24/2018 from Fish Passage Center (http://www.fpc.org).  If you contact FPC with questions, be sure to inform them that you obtained these data via the Coordinated Assessments query system.",No,Final,,http://www.fpc.org/,http://www.fpc.org/,,Michele,DeHart  [But see Comments.],503-833-3900,mdehart@fpc.org,,PSMFC,,Dec 24 2018 10:45AM,Data downloaded from Fish Passage Center.,,514 BON_to_BOA 2013 w/o jacks,Yes,Dec 24 2018 11:17AM,Dec 24 2018 11:18AM,Dec 24 2018  6:55PM,Feb  8 2019 10:00PM,Metrics,,69920CD0-A75F-4D78-BC26-ABE0F4D67083
Chinook salmon,Fall,Interior Columbia,,,514,,Deschutes River {non-TRT Population},Deschutes River fall Chinook salmon,,,,Same,,Bonneville Dam,Smolts outmigrating past a point,BON,Bonneville Dam,From Bonneville Dam to Bonneville Dam,Including jacks,,2013,No,FPC,Fish Passage Center,1,Yes,0.94,0.6,1.33,0.1,,,Natural,8229,,,,,,,,Returns to a dam,Not adjusted,,,,,,http://www.fpc.org/documents/CSS/DRAFT2018CSSReportv1-1.pdf,,,"Data provided to FPC by USFWS, NPT, CTWSRO, CCT, SBT, CRITFC, IDFG, ODFW, WDFW, PSMFC, and others for the BPA-funded Comparative Survival Study.","Data extracted 12/24/2018 from Fish Passage Center (http://www.fpc.org).  If you contact FPC with questions, be sure to inform them that you obtained these data via the Coordinated Assessments query system.",No,Final,,http://www.fpc.org/,http://www.fpc.org/,,Michele,DeHart  [But see Comments.],503-833-3900,mdehart@fpc.org,,PSMFC,,Dec 24 2018 10:45AM,Data downloaded from Fish Passage Center.,,514 BON_to_BOA 2013 w/ jacks,Yes,Dec 24 2018 11:10AM,Dec 24 2018 11:10AM,Dec 24 2018  6:55PM,Feb  8 2019 10:00PM,Metrics,,03334BAE-600E-4057-9E2A-1F9A0925440F
Chinook salmon,Fall,Interior Columbia,,,514,,Deschutes River {non-TRT Population},Deschutes River fall Chinook salmon,,,,Same,,Bonneville Dam,Smolts outmigrating past a point,BON,Bonneville Dam,From Bonneville Dam to Bonneville Dam,Including jacks,,2012,No,FPC,Fish Passage Center,1,Yes,0.93,0.56,1.37,0.1,,,Natural,6998,,,,,,,,Returns to a dam,Not adjusted,,,,,,http://www.fpc.org/documents/CSS/DRAFT2018CSSReportv1-1.pdf,,,"Data provided to FPC by USFWS, NPT, CTWSRO, CCT, SBT, CRITFC, IDFG, ODFW, WDFW, PSMFC, and others for the BPA-funded Comparative Survival Study.","Data extracted 12/24/2018 from Fish Passage Center (http://www.fpc.org).  If you contact FPC with questions, be sure to inform them that you obtained these data via the Coordinated Assessments query system.",No,Final,,http://www.fpc.org/,http://www.fpc.org/,,Michele,DeHart  [But see Comments.],503-833-3900,mdehart@fpc.org,,PSMFC,,Dec 24 2018 10:45AM,Data downloaded from Fish Passage Center.,,514 BON_to_BOA 2012 w/ jacks,Yes,Dec 24 2018 11:10AM,Dec 24 2018 11:10AM,Dec 24 2018  6:55PM,Feb  8 2019 10:00PM,Metrics,,576255BA-8BBC-44B2-9516-14CEAB32B2F6
Chinook salmon,Fall,Interior Columbia,,,514,,Deschutes River {non-TRT Population},Deschutes River fall Chinook salmon,,,,Same,,Bonneville Dam,Smolts outmigrating past a point,BON,Bonneville Dam,From Bonneville Dam to Bonneville Dam,Excluding jacks,,2012,No,FPC,Fish Passage Center,1,Yes,0.73,0.43,1.08,0.1,,,Natural,6998,,,,,,,,Returns to a dam,Not adjusted,,,,,,http://www.fpc.org/documents/CSS/DRAFT2018CSSReportv1-1.pdf,,,"Data provided to FPC by USFWS, NPT, CTWSRO, CCT, SBT, CRITFC, IDFG, ODFW, WDFW, PSMFC, and others for the BPA-funded Comparative Survival Study.","Data extracted 12/24/2018 from Fish Passage Center (http://www.fpc.org).  If you contact FPC with questions, be sure to inform them that you obtained these data via the Coordinated Assessments query system.",No,Final,,http://www.fpc.org/,http://www.fpc.org/,,Michele,DeHart  [But see Comments.],503-833-3900,mdehart@fpc.org,,PSMFC,,Dec 24 2018 10:45AM,Data downloaded from Fish Passage Center.,,514 BON_to_BOA 2012 w/o jacks,Yes,Dec 24 2018 11:17AM,Dec 24 2018 11:18AM,Dec 24 2018  6:55PM,Feb  8 2019 10:00PM,Metrics,,9B8CCE53-B02A-4B8B-B826-E41515CFC987
Chinook salmon,Fall,Interior Columbia,,,514,,Deschutes River {non-TRT Population},Deschutes River fall Chinook salmon,,,,Same,,Bonneville Dam,Smolts outmigrating past a point,BON,Bonneville Dam,From Bonneville Dam to Bonneville Dam,Including jacks,,2011,No,FPC,Fish Passage Center,1,Yes,3.07,2.12,4.2,0.1,,,Natural,5670,,,,,,,,Returns to a dam,Not adjusted,,,,,,http://www.fpc.org/documents/CSS/DRAFT2018CSSReportv1-1.pdf,,,"Data provided to FPC by USFWS, NPT, CTWSRO, CCT, SBT, CRITFC, IDFG, ODFW, WDFW, PSMFC, and others for the BPA-funded Comparative Survival Study.","Data extracted 12/24/2018 from Fish Passage Center (http://www.fpc.org).  If you contact FPC with questions, be sure to inform them that you obtained these data via the Coordinated Assessments query system.",No,Final,,http://www.fpc.org/,http://www.fpc.org/,,Michele,DeHart  [But see Comments.],503-833-3900,mdehart@fpc.org,,PSMFC,,Dec 24 2018 10:45AM,Data downloaded from Fish Passage Center.,,514 BON_to_BOA 2011 w/ jacks,Yes,Dec 24 2018 11:09AM,Dec 24 2018 11:10AM,Dec 24 2018  6:55PM,Feb  8 2019 10:00PM,Metrics,,D997EDC1-4DA0-4D57-A2E9-010297D23F5F
Chinook salmon,Fall,Interior Columbia,,,514,,Deschutes River {non-TRT Population},Deschutes River fall Chinook salmon,,,,Same,,Bonneville Dam,Smolts outmigrating past a point,BON,Bonneville Dam,From Bonneville Dam to Bonneville Dam,Excluding jacks,,2011,No,FPC,Fish Passage Center,1,Yes,2.4,1.65,3.33,0.1,,,Natural,5670,,,,,,,,Returns to a dam,Not adjusted,,,,,,http://www.fpc.org/documents/CSS/DRAFT2018CSSReportv1-1.pdf,,,"Data provided to FPC by USFWS, NPT, CTWSRO, CCT, SBT, CRITFC, IDFG, ODFW, WDFW, PSMFC, and others for the BPA-funded Comparative Survival Study.","Data extracted 12/24/2018 from Fish Passage Center (http://www.fpc.org).  If you contact FPC with questions, be sure to inform them that you obtained these data via the Coordinated Assessments query system.",No,Final,,http://www.fpc.org/,http://www.fpc.org/,,Michele,DeHart  [But see Comments.],503-833-3900,mdehart@fpc.org,,PSMFC,,Dec 24 2018 10:45AM,Data downloaded from Fish Passage Center.,,514 BON_to_BOA 2011 w/o jacks,Yes,Dec 24 2018 11:17AM,Dec 24 2018 11:18AM,Dec 24 2018  6:55PM,Feb  8 2019 10:00PM,Metrics,,5C0842B6-D655-4523-BB48-07DE32C2E6F1
