SUPERPOPID,POPID,POPFIT,POPFITNOTES,CONTACTAGENCY,LASTMODIFIEDON,LASTMODIFIEDBY,ID
1001,297,same    ,,Washington Dept. of Fish & Wildlife,2018-08-07 08:57:00.0,PSMFC.ORG\mike,B9379971-900F-4BFA-AB6A-A6B0A113CD56
1001,298,same    ,,Washington Dept. of Fish & Wildlife,2018-08-07 08:57:00.0,PSMFC.ORG\mike,ADB01B0D-A201-4969-AAA4-0C7D6E3D3C24
1002,504,Same    ,,Columbia River Inter-Tribal Fish Commission,2018-08-07 08:57:00.0,PSMFC.ORG\mike,C29CDF1A-1EEA-4BF4-83F7-CBBB0B58C755
1002,505,Same    ,,Columbia River Inter-Tribal Fish Commission,2018-08-07 08:57:00.0,PSMFC.ORG\mike,FE217E89-9F98-4563-86BE-771751BD4417
1002,506,Same    ,,Columbia River Inter-Tribal Fish Commission,2018-08-07 08:57:00.0,PSMFC.ORG\mike,922FA54D-E036-4B82-B2F1-698B99319EF3
1002,508,Same    ,,Columbia River Inter-Tribal Fish Commission,2018-08-07 08:57:00.0,PSMFC.ORG\mike,EF20A7C3-10CE-4CC9-AFB3-8F13D779CFA1
1003,45,Same    ,,Columbia River Inter-Tribal Fish Commission,2018-08-07 08:57:00.0,PSMFC.ORG\mike,30D29BB7-63C0-4BF2-8347-60D8381D06B0
1003,46,Same    ,,Columbia River Inter-Tribal Fish Commission,2018-08-07 08:57:00.0,PSMFC.ORG\mike,88067EBF-6642-46DE-8173-5C6FC3091266
1003,47,Same    ,,Columbia River Inter-Tribal Fish Commission,2018-08-07 08:57:00.0,PSMFC.ORG\mike,5EB4E5EC-252A-4D1C-9A5D-DB17B288A4DD
1003,345,Same    ,,Columbia River Inter-Tribal Fish Commission,2018-08-07 08:57:00.0,PSMFC.ORG\mike,0C955ABD-826D-4DE4-95B1-8F27DD71CFE9
1004,45,Same    ,,Columbia River Inter-Tribal Fish Commission,2018-08-07 08:57:00.0,PSMFC.ORG\mike,445EC01B-7114-42F5-A319-3C094793F3D6
1004,46,Same    ,,Columbia River Inter-Tribal Fish Commission,2018-08-07 08:57:00.0,PSMFC.ORG\mike,583EA1EA-73C4-442C-A838-8CA5FB554AD3
1005,2,Same    ,,Columbia River Inter-Tribal Fish Commission,2018-08-07 08:57:00.0,PSMFC.ORG\mike,FF2C056E-A9E3-46FB-8D5C-F481189D7839
1005,3,Same    ,,Columbia River Inter-Tribal Fish Commission,2018-08-07 08:57:00.0,PSMFC.ORG\mike,8799669A-5517-4B77-9A14-1F1ACD6FD272
1005,4,Same    ,,Columbia River Inter-Tribal Fish Commission,2018-08-07 08:57:00.0,PSMFC.ORG\mike,A4397D93-07DF-4F19-8A8E-C7DCA2B04BD9
1005,5,Same    ,,Columbia River Inter-Tribal Fish Commission,2018-08-07 08:57:00.0,PSMFC.ORG\mike,3310668C-D8E6-4EE0-B534-FAB2294B2457
1005,38,Same    ,,Columbia River Inter-Tribal Fish Commission,2018-08-07 08:57:00.0,PSMFC.ORG\mike,B8B5C264-0742-4D91-A6E6-827121173153
1005,39,Same    ,,Columbia River Inter-Tribal Fish Commission,2018-08-07 08:57:00.0,PSMFC.ORG\mike,197D9737-630B-4639-B620-93DDB0FA055B
1005,41,Same    ,,Columbia River Inter-Tribal Fish Commission,2018-08-07 08:57:00.0,PSMFC.ORG\mike,49FDDA64-69FC-442A-AB76-D2DB4F138A0A
1005,42,Same    ,,Columbia River Inter-Tribal Fish Commission,2018-08-07 08:57:00.0,PSMFC.ORG\mike,AB3411CC-484F-4613-9824-5EA17ED2882D
1005,44,Same    ,,Columbia River Inter-Tribal Fish Commission,2018-08-07 08:57:00.0,PSMFC.ORG\mike,ACB7EF20-98DA-4C39-B1C1-97E0E1989AEF
1006,7,Same    ,,Columbia River Inter-Tribal Fish Commission,2018-08-07 08:57:00.0,PSMFC.ORG\mike,1700FA3A-60D8-4A88-99D3-0CACFA22D9D6
1006,8,Same    ,,Columbia River Inter-Tribal Fish Commission,2018-08-07 08:57:00.0,PSMFC.ORG\mike,014FF918-C134-4BBE-84D8-84CCF8C61C78
1006,10,Same    ,,Columbia River Inter-Tribal Fish Commission,2018-08-07 08:57:00.0,PSMFC.ORG\mike,AD7147F8-40BA-4283-AC6C-D658828A9380
1006,11,Same    ,,Columbia River Inter-Tribal Fish Commission,2018-08-07 08:57:00.0,PSMFC.ORG\mike,26B08624-E303-4164-A7DE-DCD178B93E96
1006,12,Same    ,,Columbia River Inter-Tribal Fish Commission,2018-08-07 08:57:00.0,PSMFC.ORG\mike,F39408D9-5EB4-4226-B5B9-689C172912EE
1006,13,Same    ,,Columbia River Inter-Tribal Fish Commission,2018-08-07 08:57:00.0,PSMFC.ORG\mike,B08EE59C-FF9C-4463-9305-8E74D4DF6A34
1007,6,Same    ,,Columbia River Inter-Tribal Fish Commission,2018-08-07 08:57:00.0,PSMFC.ORG\mike,E70CE228-5C8B-46ED-B849-051F332C7682
